feature_id,feature_name,priority,module_owner_role,module_target,agent_endpoint,agent_command,execution_mode,implementation_status,acceptance_criteria,risk_level,notes
FTR-001,Quan ly da tai khoan + trang thai + danh muc,P0,Backend Lead,Account & Session,"POST /agent/v1/commands/{command_name}","profile.list|profile.status|profile.start|profile.stop",sync,Planned,"Quan ly duoc danh sach account, trang thai dong bo theo profile.status",Medium,"Bat buoc mapping account_id <-> profile_id"
FTR-002,Gan proxy rieng theo tai khoan,P0,Backend Lead,Account & Session,"POST /agent/v1/commands/{command_name}; GET /agent/v1/diagnostics/morelogin",profile.status,sync,Planned,"Theo doi chat luong ket noi theo account/proxy",Medium,"Can mo rong payload/flow agent neu chua co truong proxy mapping truc tiep"
FTR-003,Quan ly browser profile theo tai khoan,P0,Backend Lead,Account & Session,"POST /agent/v1/commands/{command_name}","profile.list|profile.start|profile.stop|profile.status",sync,Planned,"Tao/mo/dong profile theo account, co log va idempotency",Medium,"Luon di qua AgentClient"
FTR-004,Job/Queue nen + throttle theo tai khoan,P0,Backend Lead,Job/Queue,"POST /agent/v1/commands/{command_name}; GET /agent/v1/jobs/{job_id}","browser.open_and_run|schedule.create|schedule.cancel",async+sync,Planned,"Queue co retry/DLQ/throttle, theo doi job lifecycle day du",High,"Can circuit breaker khi fail-rate tang"
FTR-005,Inbox tap trung da tai khoan,P0,Backend+Frontend Lead,Unified Inbox,"POST /agent/v1/callbacks/morelogin",callback,async_event,Planned,"Khong bo sot hoi thoai, dedup theo event_id",High,"Bat buoc verify callback signature"
FTR-006,CRM khach hang + tag + ghi chu + assignment,P0,Backend+Frontend Lead,CRM & Data,"POST /agent/v1/callbacks/morelogin",callback,async_event,Planned,"Upsert customer dung, tag/assignment dung role",Medium,"Thong tin khach dong bo voi inbox timeline"
FTR-007,Bulk messages hen gio + progress + pause/resume,P0,Backend Lead,Campaign & Scheduler,"POST /agent/v1/commands/{command_name}; GET /agent/v1/jobs/{job_id}","browser.open_and_run|schedule.create|schedule.cancel",async+sync,Planned,"Khong gui trung recipient, progress realtime, pause/resume an toan",High,"Phai co idempotency key per-recipient"
FTR-008,Import Excel/CSV,P0,Backend+Frontend Lead,CRM & Data,N/A,N/A,internal,Planned,"Import co validate, error report, dedup, lineage",Medium,"Tinh nang noi bo web tools, khong bat buoc goi agent"
FTR-009,Dashboard tong quan,P1,Backend+Frontend Lead,Reports,"GET /agent/v1/health; GET /agent/v1/health/upstream; GET /agent/v1/diagnostics/morelogin",health+diagnostics,sync,Planned,"Dashboard hien thi dung KPI va trang thai he thong",Low,"Ket hop so lieu noi bo + diagnostics agent"
FTR-010,Phan quyen 3 cap + audit,P0,Backend Lead,IAM & Tenant,N/A,N/A,internal,Planned,"RBAC dung scope va audit day du",Medium,"Tinh nang noi bo web tools"
FTR-011,Backup/Restore + giam sat he thong,P1,DevOps Lead,Admin & Operations,"GET /agent/v1/health; GET /agent/v1/diagnostics/morelogin",health+diagnostics,sync,Planned,"Co backup/restore runbook va alerting",Medium,"Ket hop backup DB noi bo"
FTR-012,Tich hop OA/ZNS (webhook + gui tin theo dieu kien),P0,Backend Lead,Zalo Integration,"POST /agent/v1/commands/{command_name}; POST /agent/v1/callbacks/morelogin","browser.open_and_run or dedicated OA/ZNS commands",sync+async,Planned,"Luong OA/ZNS qua agent API co auth/audit day du",High,"Neu command OA/ZNS chua co, tao backlog extension agent"
FTR-013,Quan ly link nhom + member + lich hanh dong,P1,Backend Lead,Group Service,"POST /agent/v1/commands/{command_name}; GET /agent/v1/jobs/{job_id}","browser.open_and_run|schedule.create|schedule.cancel",async+sync,Planned,"Dong bo nhom va lich hanh dong co theo doi trang thai",High,"Can gioi han policy de giam rui ro"
FTR-014,Ket ban hang loat (high-risk),P2,Backend Lead,High-Risk Automation,"POST /agent/v1/commands/{command_name}; GET /agent/v1/jobs/{job_id}","browser.open_and_run|schedule.create",async,Planned,"Co quota, auto-stop, audit bat buoc",VeryHigh,"Chi mo khi da co governance phap ly/chinh sach"
FTR-015,Nuoi tai khoan (high-risk),P3,Backend Lead,High-Risk Automation,"POST /agent/v1/commands/{command_name}; GET /agent/v1/jobs/{job_id}","browser.open_and_run|schedule.create",async,Planned,"Kich ban co randomization co gioi han, auto-stop theo fail-rate",VeryHigh,"Khuyen nghi de phase sau va bat feature flag"
